f_lo_mhz,f_hi_mhz,label,n_beams,n_obs,n_hits
572.71775,572.71785,"empirical: 64 beams, 3 obs",64,3,192
573.32855,573.32865,"empirical: 64 beams, 4 obs",64,4,234
573.60065,573.60075,"empirical: 64 beams, 4 obs",64,4,191
573.87105,573.87115,"empirical: 64 beams, 4 obs",64,4,196
574.99335,574.99345,"empirical: 64 beams, 3 obs",64,3,139
574.99395,574.99405,"empirical: 64 beams, 3 obs",64,3,192
574.99445,574.99455,"empirical: 64 beams, 3 obs",64,3,192
574.99505,574.99515,"empirical: 64 beams, 3 obs",64,3,192
574.99595,574.99605,"empirical: 64 beams, 5 obs",64,5,320
574.99625,574.99635,"empirical: 64 beams, 4 obs",64,4,256
574.99745,574.99755,"empirical: 64 beams, 3 obs",64,3,192
574.99765,574.99775,"empirical: 64 beams, 3 obs",64,3,192
574.99835,574.99845,"empirical: 64 beams, 3 obs",64,3,192
575.00165,575.00175,"empirical: 64 beams, 3 obs",64,3,192
575.00195,575.00205,"empirical: 64 beams, 5 obs",64,5,320
575.00205,575.00215,"empirical: 64 beams, 3 obs",64,3,192
575.00255,575.00265,"empirical: 64 beams, 3 obs",64,3,192
575.96415,575.96425,"empirical: 64 beams, 18 obs",64,18,1008
575.96425,575.96435,"empirical: 64 beams, 12 obs",64,12,721
575.96445,575.96455,"empirical: 64 beams, 3 obs",64,3,184
575.96455,575.96465,"empirical: 64 beams, 3 obs",64,3,165
575.96465,575.96475,"empirical: 64 beams, 4 obs",64,4,209
575.97075,575.97085,"empirical: 64 beams, 5 obs",64,5,320
575.97095,575.97105,"empirical: 64 beams, 3 obs",64,3,151
575.97105,575.97115,"empirical: 64 beams, 3 obs",64,3,136
575.97115,575.97125,"empirical: 64 beams, 3 obs",64,3,192
575.97125,575.97135,"empirical: 64 beams, 5 obs",64,5,314
575.97135,575.97145,"empirical: 64 beams, 4 obs",64,4,189
575.97155,575.97165,"empirical: 64 beams, 6 obs",64,6,304
575.97255,575.97265,"empirical: 64 beams, 3 obs",64,3,188
575.97765,575.97775,"empirical: 64 beams, 8 obs",64,8,512
575.97775,575.97785,"empirical: 64 beams, 10 obs",64,10,624
575.97785,575.97795,"empirical: 64 beams, 6 obs",64,6,330
575.97805,575.97815,"empirical: 64 beams, 4 obs",64,4,256
575.97815,575.97825,"empirical: 64 beams, 5 obs",64,5,201
575.98035,575.98045,"empirical: 64 beams, 3 obs",64,3,192
575.98045,575.98055,"empirical: 64 beams, 9 obs",64,9,449
575.98055,575.98065,"empirical: 64 beams, 10 obs",64,10,508
575.98065,575.98075,"empirical: 64 beams, 10 obs",64,10,519
575.98075,575.98085,"empirical: 64 beams, 3 obs",64,3,171
575.98585,575.98595,"empirical: 64 beams, 3 obs",64,3,82
575.98605,575.98615,"empirical: 64 beams, 3 obs",64,3,166
575.98675,575.98685,"empirical: 64 beams, 20 obs",64,20,1220
575.98685,575.98695,"empirical: 64 beams, 5 obs",64,5,320
575.98705,575.98715,"empirical: 64 beams, 3 obs",64,3,105
575.98895,575.98905,"empirical: 64 beams, 4 obs",64,4,148
575.99195,575.99205,"empirical: 64 beams, 5 obs",64,5,213
575.99205,575.99215,"empirical: 64 beams, 8 obs",64,8,211
575.99215,575.99225,"empirical: 64 beams, 4 obs",64,4,212
575.99345,575.99355,"empirical: 64 beams, 3 obs",64,3,131
575.99375,575.99385,"empirical: 64 beams, 3 obs",64,3,192
575.99385,575.99395,"empirical: 64 beams, 3 obs",64,3,171
575.99425,575.99435,"empirical: 64 beams, 4 obs",64,4,72
